date,open,high,low,close,adj_close,volume
2013-12-02,181.08999633789062,181.42999267578125,180.25,180.52999877929688,145.4723358154297,99726000
2013-12-03,179.94000244140625,180.38999938964844,179.1699981689453,179.75,144.84378051757812,116563000
2013-12-04,179.10000610351562,180.47999572753906,178.35000610351562,179.72999572753906,144.8277587890625,123033000
2013-12-05,179.41000366210938,179.74000549316406,178.77000427246094,178.94000244140625,144.19110107421875,106934000
2013-12-06,180.6699981689453,181.11000061035156,180.14999389648438,180.94000244140625,145.80274963378906,127728000
2013-12-09,181.47000122070312,181.6699981689453,181.16000366210938,181.39999389648438,146.17340087890625,70124000
2013-12-10,180.97999572753906,181.36000061035156,180.63999938964844,180.75,145.64967346191406,80976000
2013-12-11,180.82000732421875,180.85000610351562,178.5,178.72000122070312,144.0138397216797,130591000
2013-12-12,178.63999938964844,178.86000061035156,177.75999450683594,178.1300048828125,143.5384063720703,115565000
2013-12-13,178.5,178.66000366210938,177.77000427246094,178.11000061035156,143.52227783203125,107808000
2013-12-16,178.9499969482422,179.80999755859375,178.89999389648438,179.22000122070312,144.41676330566406,96195000
2013-12-17,179.3800048828125,179.41000366210938,178.25,178.64999389648438,143.9574432373047,89886000
2013-12-18,178.9199981689453,181.72999572753906,177.32000732421875,181.6999969482422,146.41514587402344,234906000
2013-12-19,181.17999267578125,181.6999969482422,180.7100067138672,181.49000549316406,146.2459259033203,136531200
2013-12-20,180.69000244140625,181.99000549316406,180.57000732421875,181.55999755859375,147.09661865234375,197087000
2013-12-23,182.4499969482422,182.63999938964844,182.07000732421875,182.52999877929688,147.8825225830078,85598000
2013-12-24,182.5399932861328,183.00999450683594,182.52999877929688,182.92999267578125,148.20655822753906,45368800
2013-12-26,183.33999633789062,183.9600067138672,183.32000732421875,183.86000061035156,148.96005249023438,63365000
2013-12-27,184.10000610351562,184.17999267578125,183.66000366210938,183.85000610351562,148.9519500732422,61814000
2013-12-30,183.8699951171875,184.02000427246094,183.5800018310547,183.82000732421875,148.9275665283203,56857000
2013-12-31,184.07000732421875,184.69000244140625,183.92999267578125,184.69000244140625,149.63246154785156,86119900
2014-01-02,183.97999572753906,184.07000732421875,182.47999572753906,182.9199981689453,148.19842529296875,119636900
2014-01-03,183.22999572753906,183.60000610351562,182.6300048828125,182.88999938964844,148.17416381835938,81390600
2014-01-06,183.49000549316406,183.55999755859375,182.0800018310547,182.36000061035156,147.7448272705078,108028200
2014-01-07,183.08999633789062,183.7899932861328,182.9499969482422,183.47999572753906,148.65219116210938,86144200
2014-01-08,183.4499969482422,183.8300018310547,182.88999938964844,183.52000427246094,148.6846160888672,96582300
2014-01-09,184.11000061035156,184.1300048828125,182.8000030517578,183.63999938964844,148.78184509277344,90683400
2014-01-10,183.9499969482422,184.22000122070312,183.00999450683594,184.13999938964844,149.1868896484375,102026400
2014-01-13,183.6699981689453,184.17999267578125,181.33999633789062,181.69000244140625,147.20196533203125,149892000
2014-01-14,182.2899932861328,183.77000427246094,181.9499969482422,183.6699981689453,148.8061065673828,105016100
2014-01-15,184.10000610351562,184.94000244140625,183.7100067138672,184.66000366210938,149.6082305908203,98525800
2014-01-16,184.27999877929688,184.66000366210938,183.8300018310547,184.4199981689453,149.4137725830078,72290600
2014-01-17,184.10000610351562,184.4499969482422,183.32000732421875,183.63999938964844,148.78184509277344,107848700
2014-01-21,184.6999969482422,184.77000427246094,183.0500030517578,184.17999267578125,149.2193145751953,88621200
2014-01-22,184.49000549316406,184.57000732421875,183.91000366210938,184.3000030517578,149.31649780273438,61270900
2014-01-23,183.3699951171875,183.39999389648438,181.82000732421875,182.7899932861328,148.0931396484375,132496900
2014-01-24,181.60000610351562,181.66000366210938,178.8300018310547,178.88999938964844,144.93344116210938,208677100
2014-01-27,179.05999755859375,179.52000427246094,177.1199951171875,178.00999450683594,144.22048950195312,180843100
2014-01-28,178.13999938964844,179.3000030517578,178.1199951171875,179.07000732421875,145.07925415039062,110463200
2014-01-29,177.5800018310547,178.5500030517578,176.8800048828125,177.35000610351562,143.6857452392578,216597300
2014-01-30,178.8300018310547,179.80999755859375,178.25999450683594,179.22999572753906,145.20892333984375,118938100
2014-01-31,177.00999450683594,179.2899932861328,176.9199981689453,178.17999267578125,144.3582305908203,194677900
2014-02-03,177.97000122070312,178.3699951171875,173.8300018310547,174.1699981689453,141.10939025878906,254837100
2014-02-04,174.9499969482422,175.83999633789062,174.11000061035156,175.38999938964844,142.09780883789062,165012400
2014-02-05,174.77999877929688,175.55999755859375,173.7100067138672,175.1699981689453,141.9196014404297,164230500
2014-02-06,175.5800018310547,177.47999572753906,175.22000122070312,177.47999572753906,143.79110717773438,132877600
2014-02-07,178.30999755859375,179.8699951171875,177.72999572753906,179.67999267578125,145.57347106933594,170787200
2014-02-10,179.6999969482422,180.07000732421875,179.2100067138672,180.00999450683594,145.84088134765625,92218800
2014-02-11,180.16000366210938,182.44000244140625,180.0399932861328,181.97999572753906,147.4368896484375,117814100
2014-02-12,182.25,182.8300018310547,181.7100067138672,182.07000732421875,147.50987243652344,94717700
2014-02-13,180.83999633789062,183.1999969482422,180.8300018310547,183.00999450683594,148.27134704589844,100542200
2014-02-14,182.83999633789062,184.36000061035156,182.6699981689453,184.02000427246094,149.08963012695312,96498400
2014-02-18,184.17999267578125,184.49000549316406,183.64999389648438,184.24000549316406,149.26785278320312,80460900
2014-02-19,183.75999450683594,184.9499969482422,182.8699951171875,183.02000427246094,148.27947998046875,126524300
2014-02-20,183.27000427246094,184.52000427246094,182.60000610351562,184.10000610351562,149.15443420410156,104998100
2014-02-21,184.4499969482422,184.88999938964844,183.8000030517578,183.88999938964844,148.984375,118116400
2014-02-24,184.27999877929688,186.14999389648438,184.1999969482422,184.91000366210938,149.81069946289062,114063900
2014-02-25,185.05999755859375,185.58999633789062,184.22999572753906,184.83999633789062,149.75405883789062,117085000
2014-02-26,185.11000061035156,185.60000610351562,184.3300018310547,184.85000610351562,149.76214599609375,98677200
2014-02-27,184.5800018310547,185.8699951171875,184.3699951171875,185.82000732421875,150.54800415039062,93880800
2014-02-28,185.7899932861328,187.14999389648438,185.0500030517578,186.2899932861328,150.92877197265625,150842000
2014-03-03,184.64999389648438,185.4499969482422,183.75,184.97999572753906,149.86740112304688,167748500
2014-03-04,186.7899932861328,187.97999572753906,186.75,187.5800018310547,151.9739532470703,167545900
2014-03-05,187.74000549316406,188.07000732421875,187.4499969482422,187.75,152.1116180419922,88376900
2014-03-06,188.2100067138672,188.61000061035156,187.77999877929688,188.17999267578125,152.4600372314453,82516500
2014-03-07,188.9600067138672,188.9600067138672,187.42999267578125,188.25999450683594,152.52481079101562,114513500
2014-03-10,187.97000122070312,188.22999572753906,187.0800018310547,188.16000366210938,152.44386291503906,74939200
2014-03-11,188.44000244140625,188.7100067138672,186.8000030517578,187.22999572753906,151.69032287597656,99009100
2014-03-12,186.32000732421875,187.35000610351562,185.89999389648438,187.27999877929688,151.73092651367188,104824400
2014-03-13,187.83999633789062,187.99000549316406,184.66000366210938,185.17999267578125,150.02951049804688,155014300
2014-03-14,184.85000610351562,185.8000030517578,184.44000244140625,184.66000366210938,149.6082305908203,153919600
2014-03-17,185.58999633789062,186.77000427246094,185.50999450683594,186.3300018310547,150.96119689941406,98359500
2014-03-18,186.7100067138672,187.91000366210938,186.50999450683594,187.66000366210938,152.03878784179688,101804600
2014-03-19,187.67999267578125,187.94000244140625,185.47000122070312,186.66000366210938,151.22853088378906,176267300
2014-03-20,186.25,187.88999938964844,185.9199981689453,187.75,152.1116180419922,117241000
2014-03-21,187.7100067138672,189.02000427246094,186.02999877929688,186.1999969482422,151.5216522216797,163128000
2014-03-24,186.83999633789062,187.07000732421875,184.6199951171875,185.42999267578125,150.8950653076172,121411000
2014-03-25,186.3699951171875,186.94000244140625,185.27000427246094,186.30999755859375,151.6111602783203,103852000
2014-03-26,187.0399932861328,187.33999633789062,184.9199981689453,184.97000122070312,150.52078247070312,119843000
2014-03-27,184.75,185.33999633789062,183.89999389648438,184.5800018310547,150.203369140625,142383000
2014-03-28,185.11000061035156,186.4199981689453,185.0,185.49000549316406,150.9439239501953,101642000
2014-03-31,186.6699981689453,187.3000030517578,185.52000427246094,187.00999450683594,152.18080139160156,99745000
2014-04-01,187.6199951171875,188.36000061035156,187.0,188.25,153.18984985351562,89193000
2014-04-02,188.49000549316406,189.1300048828125,188.13999938964844,188.8800048828125,153.70257568359375,78774000
2014-04-03,189.1699981689453,189.22000122070312,188.0500030517578,188.6300048828125,153.49908447265625,77435000
2014-04-04,189.66000366210938,189.6999969482422,186.10000610351562,186.39999389648438,151.6844482421875,169381000
2014-04-07,185.9499969482422,186.25999450683594,183.9600067138672,184.33999633789062,150.0081329345703,140803000
2014-04-08,184.25999450683594,185.39999389648438,183.58999633789062,185.10000610351562,150.62655639648438,112660000
2014-04-09,185.60000610351562,187.14999389648438,185.05999755859375,187.08999633789062,152.2459716796875,100254000
2014-04-10,187.0800018310547,187.1699981689453,182.92999267578125,183.16000366210938,149.04783630371094,172959000
2014-04-11,182.13999938964844,183.4199981689453,181.30999755859375,181.50999450683594,147.7051239013672,167251000
2014-04-14,182.92999267578125,183.3699951171875,181.44000244140625,182.94000244140625,148.8688201904297,132382000
2014-04-15,183.32000732421875,184.3300018310547,181.50999450683594,184.1999969482422,149.89414978027344,157093000
2014-04-16,185.47000122070312,186.13999938964844,184.64999389648438,186.1300048828125,151.46470642089844,105197000
2014-04-17,185.8800048828125,186.91000366210938,185.55999755859375,186.38999938964844,151.6763153076172,105255000
2014-04-21,186.44000244140625,187.10000610351562,186.2100067138672,187.0399932861328,152.20523071289062,68329000
2014-04-22,187.22999572753906,188.39999389648438,187.1300048828125,187.88999938964844,152.89691162109375,85790000
2014-04-23,187.82000732421875,187.9199981689453,187.3000030517578,187.4499969482422,152.5388641357422,73869000
2014-04-24,188.3699951171875,188.38999938964844,186.92999267578125,187.8300018310547,152.84808349609375,88170000
2014-04-25,187.22000122070312,187.3300018310547,185.8699951171875,186.2899932861328,151.5948944091797,100380000
2014-04-28,187.0500030517578,187.69000244140625,184.9600067138672,186.8800048828125,152.07505798339844,135121000
2014-04-29,187.47999572753906,188.0399932861328,187.0800018310547,187.75,152.782958984375,84098000
2014-04-30,187.44000244140625,188.5,187.17999267578125,188.30999755859375,153.23867797851562,101508000
2014-05-01,188.22000122070312,188.83999633789062,187.72999572753906,188.3300018310547,153.25502014160156,93019000
